COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
Sydney Johnson,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Steve Masiello,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
Randy Peele,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Linc Darner,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
Jim Hayford,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Rod Barnes,-0.2,153,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
Matt McCall,-0.2,153,-0.5,213,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Eddie Biedenbach,-0.2,153,0,95,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
Steve Hawkins,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Greg Lansing,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Monte Ross,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Larry Shyatt,-0.2,153,-0.5,213,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Russell Turner,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Mike Rice,-0.2,153,-0.2,156,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Danny Kaspar,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Todd Bozeman,-0.2,153,-0.2,156,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
John Dunne,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Mike Brennan,-0.2,153,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Steve Pohm,-0.2,153,-0.1,131,2,1,1,0.5,1,1,0,0,0,0,0,0,3.30%,0.20%
Paul Weir,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
